都道府県名,市区町郡名,施設名,電話番号,カテゴリ
東京,港区,ユニプライベートスタジオ,070-8495-1878,studio
東京,港区,レンタルピアノスタジオSERENO,090-6118-4708,studio
東京,新宿区,スタジオノード新宿,03-5386-3636,studio
東京,新宿区,スタジオペンタ新宿店,03-3351-3140,studio
東京,新宿区,新宿西口音楽館,03-3368-0131,studio
東京,新宿区,御苑スタジオ,03-3351-2821,studio
東京,新宿区,HILL VALLEY STUDIO,03-6302-1718,studio
東京,新宿区,"スタジオミュージアム新宿店
",03-3373-8200,studio
東京,新宿区,サウンドスタジオノア 新宿店,03-5332-8366,studio
東京,新宿区,STUDIO MUSIC CITY（スタジオ ミュージックシティ）,03-3205-1283,studio
東京,新宿区,音楽練習場 オトレン,03-3225-7000,studio
東京,新宿区,Studio Baum,070-7588-0705,studio
東京,新宿区,Little Monster,03-6380-4080,studio
東京,新宿区,大久保スタジオＭ,03-3371-3756,studio
東京,新宿区,Mac Studio,03-5919-3941,studio
東京,新宿区,ミュージックマン,03-3367-2727,studio
東京,新宿区,あんさんぶるStudio音,,studio
東京,新宿区,BIGBAND! STUDIO,080-3592-7327,studio
東京,新宿区,バズーカスタジオ,03-3360-3377,studio
東京,新宿区,T.M.E.Studio,,studio
東京,新宿区,バンドスタジオ ベースオントップ高田馬場店,03-3203-9502,studio
東京,新宿区,ON AIR okubo studio,,studio
東京,新宿区,WAO亭 Studio,090-3813-1229,studio
東京,新宿区,アバコスタジオ（AVACO STUDIO）,03-3203-4181,studio
東京,新宿区,音楽館 高田馬場駅前店,03-6278-9288,studio
東京,新宿区,ロッケルズ ピアノスタジオ,090-3205-3225,studio
東京,新宿区,音楽スタジオ かぐら,03-3269-0513,studio
東京,新宿区,クラシックスペース100," 03-3362-6764",studio
東京,新宿区,ゲートウェイスタジオ 高田馬場3号店,03-3200-9997,studio
東京,品川区,Crunch Studio,0364216561,studio
東京,品川区,スタジオペンタ五反田店,0334472333,studio
東京,品川区,スタジオベイド高輪店,0357890054,studio
東京,品川区,クライネ ウィーン,0337792868,studio
東京,品川区,スタジオ 音の木,,studio
東京,品川区,サウンドスタジオノア 目黒不動前店,0369104550,studio
東京,品川区,品川ピアノスタジオコローレ,,studio
東京,品川区,JAMBOX - Jazz Music Studio,0337717283,studio
東京,品川区,貸音楽スタジオサウンド・パーク,0337640928,studio
東京,品川区,アワーハウス,0334517428,studio
東京,品川区,ピアノスタジオノア 不動前店,0369104550,studio
東京,目黒区,スタジオ・セラフィ,0364523314,studio
東京,目黒区,TuneStudio,0357735744,studio
東京,目黒区,STUDIO SEEZE,0368048133,studio
東京,目黒区,ピアノスタジオノア 都立大店,0337250030,studio
東京,目黒区,リンキィディンクスタジオ 都立大,0337187176,studio
東京,目黒区,【東京パーカッション】打楽器レンタルスタジオSHINKI,05035521979,studio
東京,目黒区,スタジオ リベルテ,0364259740,studio
東京,目黒区,サウンドスタジオノア都立大店,0337250010,studio
東京,目黒区,サウンドスタジオノア 学芸大店,0337102011,studio
東京,目黒区,サウンドスタジオノア 自由が丘店,0357017700,studio
東京,目黒区,"サウンドスタジオノア 池尻大橋店
",0334671101,studio
東京,目黒区,スタジオブラート,0357784868,studio
東京,目黒区,ムジク・ピアフォーヌ,0354520300,studio
東京,目黒区,スタジオ ティエラ,0337153147,studio
東京,世田谷区,世田谷スタジオ,03-5431-1701,studio
東京,世田谷区,J’Z STUDIO 千歳烏山店,03-6909-1181,studio
東京,世田谷区,世田谷アールイーシースタジオ,03-5313-8555,studio
東京,世田谷区,リハーサルスタジオ シャッフル,03-3305-4419,studio
東京,世田谷区,Rinky Dink Studio 梅ヶ丘,03-3420-3721,studio
東京,世田谷区,studio09,03-5314-9119,studio
東京,世田谷区,アンディーズスタジオ,03-5432-3805,studio
東京,世田谷区,サウンドスタジオノア 三軒茶屋店,03-5432-7221,studio
東京,世田谷区,TAD POLE STUDIO 経堂,03-3428-5711,studio
東京,世田谷区,サウンドスタジオノア 駒沢店,03-5433-5711,studio
東京,世田谷区,スタジオベイド 下北沢店,03-5432-0040,studio
東京,世田谷区,北沢三丁目スタジオ,090-2632-9640,studio
東京,世田谷区,studio LABO スタジオラボ,03-6314-0120,studio
東京,世田谷区,マミューズ成城,070-6560-7747,studio
東京,世田谷区,サウンドスタジオノア 下北沢店,03-3466-0058,studio
東京都,千代田区,Studio Bpm Kanda,03-5244-5666,studio
東京都,千代田区,bumblebee studio バンブルビースタジオ,"03-5209-6655
",studio
東京都,千代田区,スタジオノード水道橋,03-3230-4646,studio
東京都,千代田区,BECKアキバ ライブハウス リハーサルスタジオ セッションバー,03-6240-9076,studio
東京都,千代田区,HMVP大手町スタジオ,03-5283-1475,studio
東京都,千代田区,バンドスタジオ ベースオントップ秋葉原昭和通り口店,03-5825-4544,studio
東京都,千代田区,サウンドスタジオノア 秋葉原店,03-5816-8383,studio
東京都,千代田区,サウンドスタジオノア 御茶ノ水店,03-5217-7680,studio
東京都,千代田区,スタジオ音楽館 アキバ,03-3256-6955,studio
東京都,千代田区,スタジオ音楽館 神田駅前,03-3525-8887,studio
東京都,千代田区,吉田ピアノスタジオ,03-3861-0098,studio
東京都,千代田区,スタジオ グッドマン アキバ,03-5846-9454,studio
東京都,千代田区,Rinky Dink Studio お茶の水 神保町店,03-3294-6909,studio
東京都,千代田区,BRICKS Music Salon,03-6206-9203,studio
東京都,千代田区,ピアノスタジオノア 秋葉原店,03-5816-8388,studio
東京都,千代田区,スタジオM Garten,03-3518-9926,studio
東京都,千代田区,HMVP新御徒町スタジオ,03-5283-1475,studio
,,,,
